Alexandria,Creative Sanctuary 765,847-691-0193,https://www.facebook.com/creativesanctuary765/,300,Any,,,,,,
Anderson,Hoosier Park Racing & Casino,(765) 642-7223,http://www.hoosierpark.com/,800,Rock,Country,,,,,
Anderson,Paramount Theatre Center,765-642-1234,http://homegrownhoosierfilmfestival.com/about_paramount.html,500,Dance,Classical,,,,,
Anderson,Riley Party Barn,765-643-6213,http://www.therileypartybarn.com/,350,Country and Rock,,,,,,
Anderson,York Performance Hall,800-428-6414,http://www.anderson.edu/music-theatre-Dance/york,325,Orchestral,Dance,,,,,
Ashland,Club 42,(419)289-9986,https://www.facebook.com/Club42-Bar-Grill-348309781953919/,N/A,Any,,,,,,
Bean Blossom,Bill Monroe Music Park & Campground,(800) 414-4677,www.billmonroemusicpark.com,N/A,Bluegrass,Country,,,,,
Benton Harbor,Livery Brew,269-925-8760,http://liverybrew.com/,100,Any,,,,,,
Bloomington,Bear's Place,812-339-3460,http://www.bearsplacebar.com,N/A,Jazz,,,,,,
Bloomington,Bluebird Nightclub,812-336-3984,http://www.thebluebird.ws/,N/A,Rock,,,,,,
Bloomington,Buskirk-Chumley Theater,812-323-3020,http://www.buskirkchumley.org/index.php/about-the-bct,N/A,Any,,,,,,
Bloomington,Indiana University Auditorium,812-855-11031,http://www.iuauditorium.com,3154,concerts,,,,,,
Bloomington,Ivy Tech John Waldron Arts Center,812-330-4400,http://www.ivytech.edu/bloomington/waldron/index.html,200,Rock,Country,Jazz,,,,
Bloomington,Kilroy's Dunnkirk,812-822-1483http://kilroys-dunnkirk.com/,N/A,N/A,Country,Rock,,,,,
Bloomington,Musical Arts Center,812-855-4848,http://music.indiana.edu/about/performance-halls/,1500,Any,,,,,,
Bloomington,Salt Street Brewery,812-277-8277,http://www.saltcreekbrewery.com/,N/A,Rock,Country,,,,,
Bloomington,The Back Door,812-333-3123 https://www.facebook.com/backdoorbloomington,N/A,N/A,Rock,Country,night life,,,,
